,course_type,course_name,course_link,uni_name,uni_city,scholarship_avail,course_cost,lang_of_instr,lang_level,semester_beginning,online_course
24,Language course,Course I - Intensive German and Cultural Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4887/,Catholic University of Eichstätt-Ingolstadt ,Eichstätt,available,EUR 509,German,"German: A2, B1, B2, C1, C2","July 19 - August 13, 2021 (Registration Deadline April 30, 2021)",0
25,Language course,Course II – Intensive German and German Literature,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4888/,Catholic University of Eichstätt-Ingolstadt ,Eichstätt,available,EUR 509,German,"German: B2, C1, C2","July 19 - August 13, 2021 (Registration Deadline April 30, 2021)",0
26,Language course,Deutsch in Weimar,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4896/,Bauhaus-Universität Weimar ,Weimar,available,EUR 650,German,"German: A1, A2, B1, B2, C1, C2","August 08 - September 03, 2021 (Registration Deadline June 15, 2021)",0
27,Language course,Deutsch und Studieren in Deutschland B2 und C1,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5406/,Augsburg University of Applied Sciences ,Augsburg,,EUR 800,German,"German: B2, C1","April - July, 2021 (Registration Deadline February 28, 2021)",0
28,Language course,DSH Language Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5446/,Otto von Guericke University Magdeburg ,Magdeburg,,Price only on request,German,"German: A2, B1, B2, C1","October, 2020 - March, 2021 (Registration Deadline September 15, 2020), January - May, 2021 (Registration Deadline December 15, 2020), June - August, 2021 (Registration Deadline May 15, 2021)",0
29,Language course,English Intensive Course: English Communication Skills & English for Academic Purposes,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5350/,Bauhaus-Universität Weimar ,Weimar,,EUR 600,English,"English: B1, B2, C1","August 08 - September 03, 2021",0
30,Language course,English Language Course,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6199/,University of Freiburg ,Freiburg im Breisgau,,EUR 800,English,"English: B1, B2, C1","March 01 - March 26, 2021 (Registration Deadline January 31, 2021), August 02 - August 28, 2021 (Registration Deadline June 30, 2021), September 02 - September 29, 2021 (Registration Deadline July 31, 2021)",0
31,Short course and language course,European Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4909/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
32,Language course,"Fachdeutsch: Online German Courses, Level C1",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5199/,g.a.s.t. / Deutsch-Uni Online ,München,,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)","<p class=""c-badge c-badge--bottom"">
<span class=""c-icon c-badge__item c-icon__screen""></span>
<span class=""c-badge__text"">Online</span>
</p>"
33,Short course and language course,Film Culture in Germany,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4934/,University of Bayreuth ,Bayreuth,available,Price only on request,German,"German: B2, C1, C2","August 03 - August 27, 2021 (Registration Deadline June 15, 2021)",0
