Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,1999/2000,275,338,97,113,38,21
,2000/2001,284,310,111,112,36,28
,2001/2002,275,269,111,108,33,20
,2002/2003,275,251,112,113,43,23
,2003/2004,271,258,106,111,51,23
,2004/2005,249,242,89,98,57,18
,2005/2006,190,220,102,96,58,16
,2006/2007,196,202,101,122,64,15
,2007/2008,159,188,78,96,63,16
,2008/2009,176,158,85,82,66,26
,2009/2010,185,198,102,84,67,20
,2010/2011,192,184,98,116,61,14
,2011/2012,225,196,90,99,78,16
,2012/2013,245,207,94,101,78,11
,2013/2014,258,241,102,113,74,13
,2014/2015,281,229,102,129,121,18
,2015/2016,249,290,89,159,114,25
,2016/2017,246,280,94,142,87,18
,2017/2018,226,271,86,134,66,10
,2018/2019,220,259,93,148,35,16
,2019/2020,210,225,82,141,33,15
    Slowakei,1998/1999,293,201,57,57,19,16
,1999/2000,323,268,76,60,29,17
,2000/2001,386,359,96,96,37,18
,2001/2002,505,455,151,94,43,21
,2002/2003,547,550,169,134,63,18
,2003/2004,594,609,191,111,64,23
,2004/2005,621,659,176,109,77,19
,2005/2006,584,676,168,116,82,23
,2006/2007,547,625,179,123,78,17
,2007/2008,468,539,155,95,90,18
,2008/2009,393,521,137,91,76,20
,2009/2010,386,486,147,88,82,17
,2010/2011,331,458,148,94,91,24
,2011/2012,315,427,151,107,91,18
,2012/2013,315,430,161,133,98,18
,2013/2014,290,464,175,130,97,16
,2014/2015,291,478,202,147,107,14
,2015/2016,240,485,147,188,126,14
,2016/2017,225,424,111,196,123,9
,2017/2018,220,396,113,174,126,8
,2018/2019,200,334,110,181,117,7
,2019/2020,175,323,102,176,115,8
    Slowenien,1998/1999,134,147,63,73,23,17
,1999/2000,143,165,59,79,21,15
,2000/2001,159,174,58,79,24,16
,2001/2002,187,180,57,82,25,16
,2002/2003,187,192,65,82,19,16
,2003/2004,179,192,74,80,24,15
,2004/2005,192,195,70,81,20,11
,2005/2006,177,191,67,78,20,7
,2006/2007,155,186,75,79,20,9
,2007/2008,159,205,82,70,30,10
,2008/2009,144,175,71,70,24,7
,2009/2010,156,148,64,77,27,6
,2010/2011,161,133,68,77,24,8
,2011/2012,172,130,79,79,23,7
,2012/2013,157,141,67,77,33,10
,2013/2014,179,160,109,79,35,15
,2014/2015,172,188,118,86,32,19
,2015/2016,171,195,100,120,46,15
,2016/2017,155,195,91,132,49,17
,2017/2018,158,206,102,120,49,18
,2018/2019,142,197,99,123,58,18
,2019/2020,159,204,98,99,51,15
